Time[s], Lat[deg], Lon[deg], he[m], vx[ms], vy[ms], vz[ms]
1497933721.0, 52.5452300, 13.3542200, 57.6, 0.000, -0.000, -0.100
1497933722.1, 52.5452300, 13.3542200, 57.5, -0.000, -0.000, -0.100
1497933723.1, 52.5452317, 13.3542200, 57.4, -0.000, 0.000, -0.100
1497933724.1, 52.5452317, 13.3542200, 57.3, -0.000, 0.000, -0.100
1497933725.1, 52.5452317, 13.3542217, 57.2, 0.000, 0.000, -0.100
1497933726.1, 52.5452333, 13.3542200, 57.2, -0.000, -0.000, 0.000
1497933727.1, 52.5452333, 13.3542200, 57.1, -0.000, 0.000, -0.100
1497933728.1, 52.5452333, 13.3542217, 57.0, -0.000, -0.000, -0.100
1497933729.1, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, -0.100
1497933730.1, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933731.1, 52.5452350, 13.3542217, 56.9, -0.000, 0.000, 0.000
1497933732.1, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, 0.000
1497933733.1, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, 0.000
1497933734.1, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933735.1, 52.5452350, 13.3542217, 56.9, 0.000, 0.000, 0.000
1497933736.1, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, 0.000
1497933737.1, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933738.1, 52.5452350, 13.3542217, 56.9, 0.000, 0.000, 0.000
1497933739.1, 52.5452350, 13.3542217, 56.9, 0.000, 0.000, 0.000
1497933740.1, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933741.1, 52.5452350, 13.3542217, 56.9, -0.000, 0.000, 0.000
1497933742.1, 52.5452350, 13.3542217, 56.9, -0.000, 0.000, 0.000
1497933743.1, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933744.2, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, 0.000
1497933745.2, 52.5452350, 13.3542217, 56.9, -0.000, 0.000, 0.000
1497933746.2, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933747.2, 52.5452350, 13.3542217, 56.9, -0.000, -0.000, 0.000
1497933748.2, 52.5452350, 13.3542217, 56.9, 0.000, -0.000, 0.000
