Time[s], Lat[deg], Lon[deg], he[m], vx[ms], vy[ms], vz[ms]
1497926108.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926109.2, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926110.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926111.2, 52.5455433, 13.3556617, 51.4, -0.000, -0.000, 0.000
1497926112.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926113.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926114.2, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926115.2, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926116.2, 52.5455433, 13.3556617, 51.4, -0.000, -0.000, 0.000
1497926117.2, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926118.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926119.2, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926120.3, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926121.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926122.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926123.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926124.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926125.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926126.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926127.3, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926128.3, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926129.3, 52.5455433, 13.3556617, 51.4, -0.000, -0.000, 0.000
1497926130.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926131.3, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926132.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926133.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926134.3, 52.5455433, 13.3556617, 51.4, -0.000, -0.000, 0.000
1497926135.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926136.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926137.3, 52.5455433, 13.3556617, 51.4, -0.000, -0.000, 0.000
1497926138.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926139.3, 52.5455433, 13.3556617, 51.4, 0.000, 0.000, 0.000
1497926140.3, 52.5455433, 13.3556617, 51.4, -0.000, 0.000, 0.000
1497926141.3, 52.5455433, 13.3556617, 51.4, 0.000, -0.000, 0.000
1497926142.4, 52.5455433, 13.3556617, 51.3, -0.000, 0.000, -0.100
1497926143.4, 52.5455433, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926144.4, 52.5455433, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926145.4, 52.5455433, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926146.4, 52.5455433, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926147.4, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926148.4, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926149.4, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926150.4, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926151.4, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926152.4, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926153.4, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926154.4, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926155.4, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926156.4, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926157.4, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926158.4, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926159.4, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926160.4, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926161.4, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926162.4, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926163.5, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926164.5, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926165.5, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926166.5, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926167.5, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926168.5, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926169.5, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926170.5, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926171.5, 52.5455417, 13.3556617, 51.3, -0.000, 0.000, 0.000
1497926172.5, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926173.5, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926174.5, 52.5455417, 13.3556617, 51.3, -0.000, -0.000, 0.000
1497926175.5, 52.5455417, 13.3556617, 51.3, 0.000, -0.000, 0.000
1497926176.5, 52.5455417, 13.3556617, 51.3, 0.000, 0.000, 0.000
1497926182.5, 52.5455417, 13.3556633, 51.3, 0.000, -0.000, 0.000
1497926183.5, 52.5455417, 13.3556633, 51.3, 0.000, -0.000, 0.000
1497926184.5, 52.5455417, 13.3556650, 51.3, -0.000, 0.000, 0.000
1497926185.6, 52.5455400, 13.3556650, 51.2, 0.000, 0.000, -0.100
1497926186.6, 52.5455400, 13.3556683, 51.1, -0.000, -0.000, -0.100
1497926188.6, 52.5455383, 13.3556700, 51.0, 0.000, -0.000, 0.000
1497926211.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926212.7, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926213.7, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926214.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926217.7, 52.5455350, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926219.7, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926221.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926222.7, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926223.7, 52.5455350, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926224.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926226.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926227.7, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926228.7, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926229.7, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926231.7, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926232.7, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926233.8, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926234.8, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926236.8, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926237.8, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926238.8, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926239.8, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926241.8, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926242.8, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926243.8, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926244.8, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926246.8, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926247.8, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926248.8, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926249.8, 52.5455350, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926251.8, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926252.8, 52.5455350, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926253.8, 52.5455350, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926254.8, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926256.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926257.9, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926258.9, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926259.9, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926261.9, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926262.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926263.9, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926264.9, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926265.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926266.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926267.9, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926268.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926269.9, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926270.9, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926271.9, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926272.9, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926273.9, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926274.9, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926276.0, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926277.0, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926278.0, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926279.0, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926280.0, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926281.0, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926282.0, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926283.0, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926284.0, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926285.0, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926286.0, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926287.0, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926288.0, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926289.0, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926290.0, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926291.0, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926292.0, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926293.0, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926294.0, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926295.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926296.1, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926297.1, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926298.1, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926299.1, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926300.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926301.1, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926302.1, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926303.1, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926304.1, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926305.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926306.1, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926307.1, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926308.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926309.1, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926310.1, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926311.1, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926312.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926313.1, 52.5455333, 13.3556767, 50.5, 0.000, -0.000, 0.000
1497926314.2, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926315.2, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926316.2, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926317.2, 52.5455333, 13.3556767, 50.5, -0.000, -0.000, 0.000
1497926318.2, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926319.2, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926320.2, 52.5455333, 13.3556767, 50.5, 0.000, 0.000, 0.000
1497926321.2, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926322.2, 52.5455333, 13.3556767, 50.5, -0.000, 0.000, 0.000
1497926323.2, 52.5455333, 13.3556783, 50.0, -0.000, 0.000, -0.500
1497926324.2, 52.5455317, 13.3556783, 49.9, -0.000, -0.000, -0.100
1497926325.2, 52.5455317, 13.3556783, 50.1, -0.000, -0.000, 0.200
1497926326.2, 52.5455300, 13.3556783, 50.2, -0.000, -0.000, 0.100
1497926327.2, 52.5455300, 13.3556767, 50.3, -0.000, -0.000, 0.100
1497926328.2, 52.5455300, 13.3556767, 50.5, -0.000, -0.000, 0.200
1497926329.2, 52.5455300, 13.3556767, 50.6, -0.000, -0.000, 0.100
1497926330.2, 52.5455300, 13.3556750, 50.7, -0.000, -0.000, 0.100
1497926331.2, 52.5455283, 13.3556750, 50.8, -0.000, -0.000, 0.100
1497926332.2, 52.5455283, 13.3556750, 50.9, -0.000, -0.000, 0.100
1497926333.2, 52.5455283, 13.3556733, 51.0, -0.000, -0.000, 0.100
1497926334.2, 52.5455267, 13.3556733, 51.0, -0.000, -0.000, 0.000
1497926335.3, 52.5455267, 13.3556717, 51.1, -0.000, -0.000, 0.100
1497926336.3, 52.5455267, 13.3556717, 51.2, -0.000, -0.000, 0.100
1497926337.3, 52.5455267, 13.3556717, 51.3, -0.000, -0.000, 0.100
1497926338.3, 52.5455267, 13.3556717, 51.3, -0.000, -0.000, 0.000
1497926339.3, 52.5455250, 13.3556717, 51.4, -0.000, -0.000, 0.100
1497926340.3, 52.5455250, 13.3556717, 51.4, -0.000, -0.000, 0.000
1497926341.3, 52.5455250, 13.3556717, 51.4, -0.000, -0.000, 0.000
1497926342.3, 52.5455250, 13.3556717, 51.5, -0.000, -0.000, 0.100
1497926343.3, 52.5455250, 13.3556717, 51.5, -0.000, -0.000, 0.000
1497926344.3, 52.5455250, 13.3556717, 51.5, -0.000, -0.000, 0.000
1497926345.3, 52.5455233, 13.3556717, 51.5, -0.000, -0.000, 0.000
1497926346.3, 52.5455233, 13.3556717, 51.5, -0.000, -0.000, 0.000
1497926347.3, 52.5455233, 13.3556700, 51.6, -0.000, -0.000, 0.100
1497926348.3, 52.5455233, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926349.3, 52.5455233, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926350.3, 52.5455233, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926351.3, 52.5455217, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926352.3, 52.5455217, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926353.3, 52.5455217, 13.3556700, 51.6, -0.000, -0.000, 0.000
1497926354.3, 52.5455217, 13.3556683, 51.5, -0.000, -0.000, -0.100
1497926355.3, 52.5455217, 13.3556683, 51.5, -0.000, 0.000, 0.000
1497926356.3, 52.5455217, 13.3556683, 51.5, 0.000, 0.000, 0.000
1497926357.4, 52.5455217, 13.3556683, 51.5, 0.000, 0.000, 0.000
1497926358.4, 52.5455217, 13.3556683, 51.5, 0.000, 0.000, 0.000
1497926359.4, 52.5455217, 13.3556683, 51.4, 0.000, -0.000, -0.100
1497926360.4, 52.5455217, 13.3556683, 51.4, 0.000, 0.000, 0.000
1497926361.4, 52.5455217, 13.3556683, 51.4, 0.000, 0.000, 0.000
1497926362.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926363.4, 52.5455217, 13.3556683, 51.4, 0.000, -0.000, 0.000
1497926364.4, 52.5455217, 13.3556683, 51.4, 0.000, -0.000, 0.000
1497926365.4, 52.5455217, 13.3556683, 51.4, 0.000, 0.000, 0.000
1497926366.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926367.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926368.4, 52.5455217, 13.3556683, 51.4, 0.000, 0.000, 0.000
1497926369.4, 52.5455217, 13.3556683, 51.4, -0.000, 0.000, 0.000
1497926370.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926371.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926372.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926373.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926374.4, 52.5455217, 13.3556683, 51.4, 0.000, -0.000, 0.000
1497926375.4, 52.5455217, 13.3556683, 51.4, -0.000, -0.000, 0.000
1497926376.4, 52.5455217, 13.3556683, 51.3, 0.000, 0.000, -0.100
1497926377.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926378.5, 52.5455217, 13.3556683, 51.3, -0.000, -0.000, 0.000
1497926379.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926380.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926381.5, 52.5455217, 13.3556683, 51.3, -0.000, -0.000, 0.000
1497926382.5, 52.5455217, 13.3556683, 51.3, 0.000, 0.000, 0.000
1497926383.5, 52.5455217, 13.3556683, 51.3, -0.000, -0.000, 0.000
1497926384.5, 52.5455217, 13.3556683, 51.3, -0.000, -0.000, 0.000
1497926385.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926386.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926387.5, 52.5455217, 13.3556683, 51.3, -0.000, 0.000, 0.000
1497926388.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926398.5, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926399.6, 52.5455217, 13.3556683, 51.3, -0.000, 0.000, 0.000
1497926422.6, 52.5455217, 13.3556683, 51.3, -0.000, 0.000, 0.000
1497926423.6, 52.5455217, 13.3556683, 51.3, 0.000, -0.000, 0.000
1497926429.7, 52.5455217, 13.3556683, 51.3, -0.000, 0.000, 0.000
1497926431.7, 52.5455217, 13.3556683, 51.3, 0.000, 0.000, 0.000
1497926432.7, 52.5455217, 13.3556683, 51.3, -0.000, 0.000, 0.000
1497926433.7, 52.5455217, 13.3556700, 51.3, 0.000, 0.000, 0.000
1497926434.7, 52.5455217, 13.3556700, 51.3, 0.000, 0.000, 0.000
1497926436.7, 52.5455217, 13.3556700, 51.3, 0.000, -0.000, 0.000
1497926437.7, 52.5455217, 13.3556700, 51.3, 0.000, -0.000, 0.000
1497926438.7, 52.5455217, 13.3556700, 51.3, 0.000, -0.000, 0.000
1497926439.7, 52.5455217, 13.3556700, 51.3, 0.000, 0.000, 0.000
1497926441.7, 52.5455217, 13.3556700, 51.3, -0.000, -0.000, 0.000
1497926442.7, 52.5455217, 13.3556700, 51.3, -0.000, 0.000, 0.000
1497926443.7, 52.5455217, 13.3556700, 51.3, 0.000, -0.000, 0.000
1497926444.7, 52.5455217, 13.3556700, 51.3, 0.000, 0.000, 0.000
1497926446.8, 52.5455217, 13.3556700, 51.3, 0.000, -0.000, 0.000
1497926447.8, 52.5455217, 13.3556700, 51.3, 0.000, 0.000, 0.000
1497926448.8, 52.5455217, 13.3556700, 51.3, -0.000, 0.000, 0.000
1497926449.8, 52.5455217, 13.3556700, 51.3, -0.000, 0.000, 0.000
1497926451.8, 52.5455217, 13.3556700, 51.3, -0.000, -0.000, 0.000
1497926452.8, 52.5455200, 13.3556700, 51.3, -0.000, -0.000, 0.000
1497926453.8, 52.5455200, 13.3556700, 51.2, 0.000, -0.000, -0.100
1497926454.8, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, -0.100
1497926456.8, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926457.8, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926458.8, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926459.8, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926461.8, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926462.8, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926463.8, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926464.8, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926466.8, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926467.9, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926468.9, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926469.9, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926471.9, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926472.9, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926473.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926474.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926475.9, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926476.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926477.9, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926478.9, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926479.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926480.9, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926481.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926482.9, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926483.9, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926484.9, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926485.9, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926486.9, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926488.0, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926489.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926490.0, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926491.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926492.0, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926493.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926494.0, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926495.0, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926496.0, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926497.0, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926498.0, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926499.0, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
1497926500.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926501.0, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926502.0, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926503.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926504.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926505.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926506.0, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926507.1, 52.5455200, 13.3556717, 51.1, -0.000, 0.000, 0.000
1497926508.1, 52.5455200, 13.3556717, 51.1, -0.000, -0.000, 0.000
1497926509.1, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926510.1, 52.5455200, 13.3556717, 51.1, 0.000, -0.000, 0.000
1497926511.1, 52.5455200, 13.3556717, 51.1, 0.000, 0.000, 0.000
