Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149504870.551037, 0.014966, -0.013439, 0.003360, 0.029778, 0.000000, 0.950865, -1.838165, -3.867885, 10.445353, 0.000000, -0.031306, 2.080930

149504870.552415, 0.019242, -0.012523, 0.002749, 0.029778, 0.000000, 0.950865, -3.308697, -6.962193, 18.801634, 0.000264, -0.031479, 2.080968

149504870.553776, 0.019853, -0.016188, 0.002443, 0.014889, 0.000000, 0.966453, -4.485123, -9.437640, 25.486660, 0.000528, -0.031373, 2.080337

149504870.555121, 0.013134, -0.014355, 0.002749, 0.029778, 0.000000, 0.966453, -5.446800, -11.356772, 30.788033, 0.000689, -0.031551, 2.080435

149504870.556458, 0.010079, -0.016188, -0.000305, 0.029778, 0.000000, 0.966453, -6.216141, -12.892078, 35.029133, 0.000808, -0.031748, 2.080533

149504870.557812, 0.014661, -0.017715, 0.007941, 0.014889, 0.000000, 0.982041, -6.872687, -14.242773, 38.445335, 0.000987, -0.031651, 2.080087

149504870.559170, 0.016188, -0.018937, 0.005192, 0.014889, 0.000000, 0.982041, -7.397924, -15.323328, 41.178295, 0.001185, -0.031573, 2.079615

149504870.560516, 0.021075, -0.019548, 0.003360, 0.029778, 0.000000, 0.950865, -7.818113, -16.187773, 43.364666, 0.001438, -0.031826, 2.079792

149504870.561853, 0.021686, -0.016188, 0.000611, 0.029778, 0.000000, 0.950865, -8.113192, -16.838512, 45.067116, 0.001693, -0.032028, 2.079911

149504870.563210, 0.023824, -0.016493, 0.002443, 0.029778, 0.000000, 0.950865, -8.349255, -17.359104, 46.429073, 0.001975, -0.032233, 2.080038

149504870.564578, 0.016799, -0.015882, -0.001527, 0.014889, 0.000000, 0.966453, -8.538105, -17.816393, 47.471992, 0.002167, -0.032109, 2.079426

149504870.565925, 0.019242, -0.014661, 0.002443, 0.014889, 0.000000, 0.966453, -8.689185, -18.182224, 48.306328, 0.002381, -0.031967, 2.078857

