Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149504325.115255, 0.016799, -0.016493, 0.000305, -0.000000, 0.031033, 0.982041, -1.612265, -3.643395, 10.492001, 0.031590, 0.000000, 1.956301

149504325.116626, 0.019853, -0.014661, 0.003971, 0.014889, 0.046549, 0.966453, -2.984223, -6.496887, 18.908924, 0.032192, -0.000501, 1.956962

149504325.117965, 0.018021, -0.011606, 0.003971, 0.014889, 0.046549, 0.966453, -4.081789, -8.779680, 25.642464, 0.032752, -0.000948, 1.957691

149504325.119303, 0.019548, -0.011301, 0.004276, -0.000000, 0.031033, 0.966453, -4.959841, -10.687548, 31.052620, 0.032995, -0.001079, 1.958036

149504325.120639, 0.017715, -0.016799, 0.001222, -0.000000, 0.031033, 0.966453, -5.662283, -12.213841, 35.380745, 0.033209, -0.001278, 1.958327

149504325.121975, 0.019853, -0.016188, 0.001833, -0.000000, 0.031033, 0.966453, -6.224237, -13.434876, 38.843243, 0.033446, -0.001465, 1.958616

149504325.123312, 0.018937, -0.017715, 0.004276, -0.000000, 0.031033, 0.966453, -6.632728, -14.350480, 41.543270, 0.033667, -0.001670, 1.958913

149504325.124653, 0.023518, -0.019853, 0.002443, -0.000000, 0.031033, 0.966453, -6.959520, -15.082963, 43.703293, 0.033945, -0.001899, 1.959166

149504325.125991, 0.021991, -0.015882, 0.001527, -0.000000, 0.031033, 0.966453, -7.200418, -15.628134, 45.454636, 0.034196, -0.002070, 1.959391

149504325.127334, 0.020159, -0.016188, 0.002749, -0.000000, 0.031033, 0.982041, -7.393136, -16.064270, 46.855709, 0.034409, -0.002243, 1.959627

149504325.128669, 0.020464, -0.019242, 0.003971, -0.000000, 0.031033, 0.982041, -7.547310, -16.413179, 47.976566, 0.034620, -0.002452, 1.959866

149504325.130005, 0.025045, -0.018021, 0.003360, -0.000000, 0.000000, 0.950865, -7.691186, -16.712715, 48.849930, 0.034255, -0.002655, 1.960747

149504325.131341, 0.021380, -0.016799, 0.004276, 0.014889, 0.031033, 0.950865, -7.806287, -16.952343, 49.548622, 0.034507, -0.003137, 1.961649

149504325.132677, 0.016493, -0.015882, 0.005803, 0.014889, 0.031033, 0.950865, -7.939440, -17.123638, 50.084251, 0.034690, -0.003599, 1.962602

149504325.134012, 0.018937, -0.020464, 0.003971, -0.000000, 0.015516, 0.982041, -8.045962, -17.260674, 50.512753, 0.034559, -0.003801, 1.963192

149504325.135353, 0.025045, -0.023213, 0.003971, -0.000000, 0.031033, 0.950865, -8.131181, -17.370302, 50.855553, 0.034849, -0.004032, 1.963466

149504325.136689, 0.026573, -0.017410, 0.003360, 0.014889, 0.031033, 0.950865, -8.158282, -17.478413, 51.153118, 0.035158, -0.004495, 1.964396

149504325.138025, 0.019242, -0.015882, 0.001833, -0.000000, 0.015516, 0.966453, -8.179964, -17.564901, 51.391171, 0.035026, -0.004618, 1.964912

