Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149504303.290581, 0.023213, -0.016799, 0.005192, 0.014889, 0.000000, 0.966453, -0.667593, -4.010742, 10.561973, 0.000000, -0.015404, 1.774910

149504303.291998, 0.028100, -0.015272, 0.004276, 0.014889, 0.015516, 0.966453, -1.201667, -7.219336, 19.011551, 0.000710, -0.015618, 1.774804

149504303.293406, 0.019853, -0.012523, 0.001833, 0.044666, 0.015516, 0.966453, -1.628927, -9.786211, 25.771214, 0.001310, -0.016392, 1.776129

149504303.294773, 0.021991, -0.014661, 0.003665, 0.044666, 0.015516, 0.966453, -1.909126, -11.839711, 31.155619, 0.001915, -0.017176, 1.777356

149504303.296179, 0.021380, -0.016799, 0.002443, 0.029778, 0.015516, 0.950865, -2.133285, -13.482512, 35.463142, 0.002500, -0.017687, 1.777784

149504303.297540, 0.024435, -0.017104, 0.001222, 0.029778, 0.000000, 0.966453, -2.333148, -14.796751, 38.932487, 0.002779, -0.018178, 1.778344

149504303.298905, 0.021991, -0.014050, 0.004581, 0.029778, 0.000000, 0.966453, -2.493039, -15.848143, 41.707962, 0.003020, -0.018620, 1.778932

149504303.300281, 0.017715, -0.015577, 0.002443, 0.044666, 0.015516, 0.950865, -2.620951, -16.689257, 43.928341, 0.003539, -0.019389, 1.780043

149504303.301675, 0.026573, -0.019242, 0.005498, 0.044666, 0.015516, 0.950865, -2.702745, -17.362148, 45.681320, 0.004169, -0.020197, 1.781149

149504303.303044, 0.020769, -0.015577, 0.004276, 0.044666, 0.000000, 0.966453, -2.768180, -17.900461, 47.083706, 0.004378, -0.020928, 1.782381

149504303.304446, 0.017410, -0.015272, 0.000305, 0.029778, 0.015516, 0.950865, -2.841064, -18.310703, 48.158966, 0.004857, -0.021344, 1.782620

149504303.305833, 0.021075, -0.015272, 0.002749, 0.029778, 0.015516, 0.950865, -2.899372, -18.638897, 49.019173, 0.005373, -0.021749, 1.782896

149504303.307232, 0.018021, -0.014355, 0.002443, 0.029778, 0.015516, 0.982041, -2.946018, -18.901451, 49.707340, 0.005828, -0.022116, 1.783125

149504303.308645, 0.016799, -0.012828, -0.000305, 0.014889, 0.015516, 0.982041, -2.983335, -19.274761, 50.327847, 0.006263, -0.022157, 1.782559

149504303.310018, 0.020769, -0.016493, 0.000305, 0.014889, 0.015516, 0.982041, -3.013188, -19.573408, 50.824249, 0.006735, -0.022242, 1.781993

149504303.311447, 0.025351, -0.015882, -0.000305, 0.014889, 0.000000, 0.966453, -2.995998, -19.608244, 51.244698, 0.006957, -0.022326, 1.781578

149504303.312808, 0.025351, -0.016188, 0.003360, 0.029778, 0.015516, 0.966453, -2.982246, -19.636112, 51.581055, 0.007476, -0.022711, 1.781791

149504303.314185, 0.019853, -0.012217, 0.001527, 0.029778, 0.015516, 0.966453, -2.991781, -19.719631, 51.826817, 0.007916, -0.023037, 1.781973

149504303.315543, 0.020159, -0.010385, 0.003054, 0.044666, 0.015516, 0.950865, -2.999409, -19.786448, 52.023426, 0.008362, -0.023650, 1.782930

149504303.316928, 0.016799, -0.014050, 0.002138, 0.044666, 0.015516, 0.966453, -3.005511, -19.839901, 52.180714, 0.008753, -0.024288, 1.783822

149504303.318291, 0.021380, -0.016493, 0.000305, 0.044666, 0.015516, 0.966453, -3.010393, -19.841846, 52.306545, 0.009193, -0.024943, 1.784680

149504303.319690, 0.018326, -0.014355, -0.000611, 0.029778, 0.015516, 0.950865, -3.014298, -19.843403, 52.407207, 0.009587, -0.025267, 1.784805

149504303.321071, 0.022297, -0.012828, 0.002749, 0.014889, 0.015516, 0.997629, -3.017423, -19.885464, 52.487740, 0.010011, -0.025235, 1.784187

149504303.322467, 0.018937, -0.016188, 0.003665, 0.014889, 0.015516, 0.997629, -3.019922, -19.919113, 52.552166, 0.010383, -0.025253, 1.783591

149504303.323889, 0.020769, -0.012217, 0.004276, 0.029778, 0.000000, 0.950865, -3.021922, -19.946033, 52.603706, 0.010464, -0.025547, 1.783989

149504303.325282, 0.019242, -0.014355, 0.003971, 0.029778, 0.000000, 0.950865, -3.023521, -20.008387, 52.621613, 0.010517, -0.025860, 1.784362

149504303.326676, 0.017104, -0.017715, 0.002138, 0.014889, 0.031033, 0.935277, -3.024801, -20.058268, 52.635937, 0.011207, -0.025912, 1.783613

149504303.328041, 0.016799, -0.016188, 0.000611, 0.029778, 0.015516, 0.950865, -3.025825, -20.036949, 52.670723, 0.011534, -0.026236, 1.783753

149504303.329435, 0.021075, -0.018631, 0.003971, 0.029778, 0.015516, 0.950865, -3.026644, -20.019894, 52.698551, 0.011916, -0.026592, 1.783941

149504303.330795, 0.017410, -0.016799, 0.002138, 0.014889, 0.015516, 0.966453, -3.027299, -20.006248, 52.720814, 0.012234, -0.026594, 1.783340

149504303.332170, 0.020159, -0.018937, 0.000916, 0.044666, 0.015516, 0.982041, -3.048360, -20.036150, 52.738625, 0.012584, -0.027224, 1.784188

149504303.333534, 0.018021, -0.015272, -0.000916, 0.044666, 0.015516, 0.982041, -3.065208, -20.060070, 52.752872, 0.012897, -0.027792, 1.785004

149504303.334949, 0.019548, -0.010385, 0.003054, 0.029778, 0.000000, 0.950865, -3.058150, -20.058798, 52.740948, 0.012910, -0.028009, 1.785370

149504303.336316, 0.020769, -0.015577, 0.004581, -0.000000, 0.000000, 0.982041, -3.052504, -20.057781, 52.731407, 0.012946, -0.027650, 1.784161

149504303.337715, 0.018326, -0.016799, 0.000611, -0.000000, 0.000000, 0.982041, -3.027451, -20.077375, 52.747097, 0.012955, -0.027319, 1.782895

149504303.339104, 0.019242, -0.014661, 0.001833, 0.044666, 0.000000, 0.966453, -3.007409, -20.093050, 52.759651, 0.012967, -0.027903, 1.783961

149504303.340515, 0.014355, -0.016799, 0.001527, -0.000000, 0.015516, 0.950865, -2.991375, -20.105591, 52.769695, 0.013252, -0.027580, 1.782549

149504303.341929, 0.021380, -0.018021, 0.001222, -0.000000, 0.015516, 0.950865, -3.019620, -20.054399, 52.801052, 0.013628, -0.027280, 1.781194

149504303.343303, 0.014050, -0.018021, -0.000305, 0.044666, 0.015516, 0.935277, -3.042217, -20.013445, 52.826138, 0.013886, -0.027930, 1.782166

149504303.344707, 0.016799, -0.018631, 0.000611, 0.044666, 0.015516, 0.966453, -3.039757, -20.001091, 52.846207, 0.014168, -0.028551, 1.783068

149504303.346069, 0.019242, -0.015577, 0.000305, 0.044666, 0.015516, 0.966453, -3.037790, -19.991207, 52.862263, 0.014470, -0.029110, 1.783948

149504303.347451, 0.016188, -0.013744, -0.000305, 0.044666, 0.000000, 0.966453, -3.036216, -19.983299, 52.875107, 0.014409, -0.029646, 1.785023

149504303.348811, 0.015882, -0.017715, 0.003360, 0.044666, 0.000000, 0.966453, -3.055493, -20.038198, 52.885384, 0.014340, -0.030221, 1.786129

149504303.350187, 0.018631, -0.016799, 0.004276, 0.044666, 0.015516, 0.982041, -3.070915, -20.082117, 52.893604, 0.014625, -0.030752, 1.786980

149504303.351548, 0.023518, -0.017104, 0.003971, 0.014889, 0.000000, 0.966453, -3.062716, -20.056028, 52.876858, 0.014649, -0.030670, 1.786527

149504303.352964, 0.020464, -0.018021, 0.003054, 0.014889, 0.000000, 0.966453, -3.056157, -20.035156, 52.863461, 0.014642, -0.030612, 1.786070

149504303.354338, 0.019548, -0.010385, 0.002749, 0.044666, 0.015516, 0.950865, -3.050909, -20.018459, 52.852741, 0.014945, -0.031078, 1.786961

149504303.355748, 0.016799, -0.013744, 0.003665, 0.059555, 0.015516, 0.966453, -3.087784, -20.005102, 52.914139, 0.015220, -0.031877, 1.788567

