Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149503719.289384, 0.019853, -0.014355, 0.004276, 0.014889, 0.077582, 0.966453, 2.741441, -3.602579, 10.212113, 0.080103, -0.015355, 1.039712

149503719.290362, 0.022602, -0.016493, 0.004276, 0.014889, 0.077582, 0.966453, 4.934595, -6.484643, 18.381804, 0.080324, -0.015519, 1.039741

149503719.291383, 0.015882, -0.015272, 0.004581, 0.014889, 0.062065, 0.982041, 6.689117, -8.810701, 24.894232, 0.080138, -0.015664, 1.039442

149503719.292442, 0.021991, -0.018326, 0.004276, 0.029778, 0.062065, 0.982041, 8.092735, -10.671549, 30.104174, 0.080027, -0.016151, 1.039677

149503719.293462, 0.015882, -0.017715, 0.000611, 0.029778, 0.062065, 0.982041, 9.215630, -12.160227, 34.272129, 0.079849, -0.016612, 1.039875

149503719.294481, 0.022297, -0.015272, 0.001222, 0.014889, 0.062065, 0.982041, 10.093409, -13.412394, 37.676464, 0.079737, -0.016733, 1.039612

149503719.295545, 0.022907, -0.018937, -0.000000, 0.014889, 0.062065, 0.982041, 10.795632, -14.414126, 40.399933, 0.079644, -0.016896, 1.039379

149503719.296563, 0.025045, -0.021075, 0.006720, 0.014889, 0.062065, 0.950865, 11.357411, -15.215513, 42.578709, 0.079604, -0.017085, 1.039303

149503719.297583, 0.019853, -0.013439, 0.002443, 0.014889, 0.062065, 0.950865, 11.806834, -15.856623, 44.321728, 0.079514, -0.017190, 1.039214

149503719.298600, 0.026267, -0.015272, 0.002443, 0.044666, 0.124131, 0.997629, 12.145836, -16.328693, 45.692818, 0.080685, -0.017847, 1.041124

149503719.299666, 0.019242, -0.016799, 0.001833, 0.044666, 0.124131, 0.997629, 12.417037, -16.706350, 46.789692, 0.081772, -0.018515, 1.042998

149503719.300684, 0.014050, -0.016493, 0.002138, 0.029778, 0.077582, 0.966453, 12.633998, -17.008476, 47.667191, 0.081882, -0.018925, 1.043661

149503719.301701, 0.014966, -0.015882, 0.003971, 0.029778, 0.077582, 0.966453, 12.807567, -17.229769, 48.345867, 0.081999, -0.019322, 1.044326

149503719.302723, 0.020464, -0.018326, 0.003360, 0.029778, 0.077582, 0.982041, 12.946422, -17.406803, 48.888805, 0.082143, -0.019727, 1.044927

149503719.303789, 0.026267, -0.017715, 0.005803, 0.029778, 0.077582, 0.982041, 13.057506, -17.548429, 49.323158, 0.082354, -0.020127, 1.045541

149503719.304808, 0.024129, -0.012523, 0.003054, 0.029778, 0.062065, 0.966453, 13.166909, -17.600506, 49.670639, 0.082231, -0.020469, 1.045815

149503719.305824, 0.018326, -0.013134, 0.004276, 0.029778, 0.062065, 0.966453, 13.254433, -17.642168, 49.948624, 0.082052, -0.020810, 1.046063

149503719.306841, 0.018937, -0.015882, 0.006109, 0.029778, 0.077582, 0.966453, 13.324451, -17.675497, 50.171013, 0.082203, -0.021171, 1.046599

149503719.307906, 0.022907, -0.016493, 0.004581, 0.029778, 0.077582, 0.966453, 13.380466, -17.702160, 50.348923, 0.082402, -0.021537, 1.047090

149503719.308925, 0.023824, -0.018937, 0.002749, 0.029778, 0.062065, 0.950865, 13.425279, -17.723492, 50.491253, 0.082296, -0.021923, 1.047267

149503719.309942, 0.023213, -0.015577, 0.002443, 0.029778, 0.062065, 0.950865, 13.461128, -17.740557, 50.605114, 0.082186, -0.022268, 1.047426

149503719.311007, 0.021686, -0.014661, 0.001222, 0.044666, 0.077582, 0.966453, 13.489808, -17.754208, 50.696205, 0.082381, -0.022898, 1.048372

