Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149503946.107744, 0.001527, -0.071777, 0.015577, 0.014889, -0.975440, 0.155879, -1.304220, -3.786253, 10.608621, -1.412332, -0.015071, -1.710160

149503946.111116, 1.036333, -0.432187, 0.110567, 0.014889, -0.975440, 0.202643, -1.546678, -14.733623, 6.523891, -1.377381, -0.014010, -1.702350

149503946.111884, 1.036944, -0.428827, 0.110567, 0.059555, -0.975440, 0.187055, -1.740645, -23.491518, 3.256108, -1.370458, -0.014280, -1.735207

149503946.112837, 1.038165, -0.427606, 0.109345, 0.059555, -0.975440, 0.187055, -1.895818, -30.497835, 0.641881, -1.361907, -0.014081, -1.778110

149503946.113925, 1.039082, -0.426689, 0.109956, 0.059555, -0.975440, 0.187055, -2.019957, -36.102890, -1.449500, -1.352083, -0.013571, -1.822796

149503946.114978, 1.039693, -0.430049, 0.108734, 0.014889, -0.975440, 0.187055, -2.078195, -40.484894, -3.099281, -1.341527, -0.012417, -1.871110

149503946.116017, 1.038776, -0.429438, 0.110872, 0.014889, -0.975440, 0.187055, -2.124786, -43.990494, -4.419106, -1.331249, -0.011034, -1.919112

149503946.117047, 1.021978, -0.425773, 0.110567, 0.029778, -0.975440, 0.171467, -2.162058, -46.794975, -5.474966, -1.321899, -0.009237, -1.965424

149503946.118103, 0.963945, -0.445626, 0.107207, 0.029778, -0.975440, 0.171467, -2.315094, -49.018150, -6.366302, -1.313035, -0.007397, -2.010649

149503946.119093, 0.828028, -0.413250, 0.097433, 0.029778, -0.975440, 0.187055, -2.437523, -50.796692, -7.079370, -1.306122, -0.005855, -2.055927

149503946.120147, 0.607506, -0.311236, 0.079107, 0.029778, -0.975440, 0.187055, -2.535466, -52.219524, -7.649826, -1.301099, -0.004184, -2.101161

149503946.121155, 0.385151, -0.185703, 0.051924, 0.029778, -0.975440, 0.187055, -2.613821, -53.357792, -8.106190, -1.298679, -0.002452, -2.146952

149503946.122191, 0.064752, -0.036957, 0.009163, 0.029778, -0.975440, 0.187055, -2.573822, -54.411263, -8.494605, -1.299514, -0.000814, -2.193493

149503946.123213, 0.011606, -0.013134, 0.006109, 0.014889, -0.990923, 0.202643, -2.541824, -55.254040, -8.805337, -1.300440, 0.000689, -2.240382

149503946.124258, 0.018631, -0.016493, 0.004581, 0.014889, -0.990923, 0.202643, -2.516225, -55.928261, -9.053923, -1.301337, 0.002097, -2.286381

149503946.125298, 0.016493, -0.013134, 0.001527, 0.089333, -0.959957, 0.187055, -2.516282, -56.406414, -9.229467, -1.304050, 0.002468, -2.327663

149503946.126304, 0.016493, -0.014661, 0.002138, 0.089333, -0.959957, 0.187055, -2.516328, -56.788937, -9.369903, -1.306728, 0.002726, -2.368150

149503946.127346, 0.017410, -0.013744, 0.001833, 0.014889, -0.959957, 0.187055, -2.516365, -57.094952, -9.482251, -1.307782, 0.004042, -2.411609

149503946.128418, 0.015577, -0.016188, 0.001527, 0.014889, -0.959957, 0.187055, -2.557467, -57.278542, -9.572130, -1.308883, 0.005271, -2.454151

