Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1495052623.799046, 0.017104, -0.013134, 0.000916, 0.059555, 0.015516, 0.982041, 4.959367, 0.417829, 11.005129, 0.015799, -0.060562, -0.056877

1495052623.813663, 0.015272, -0.015577, 0.002749, 0.029778, 0.031033, 0.966453, 8.967934, 0.772501, 19.809233, 0.016330, -0.060184, -0.056034

1495052623.827078, 0.014966, -0.015272, 0.003665, 0.029778, 0.015516, 0.966453, 12.174787, 1.056238, 26.852514, 0.016518, -0.059798, -0.055969

1495052623.840548, 0.019548, -0.011301, 0.005803, 0.029778, 0.015516, 0.966453, 14.699197, 1.242411, 32.487141, 0.016761, -0.059369, -0.055827

1495052623.853964, 0.020464, -0.015272, 0.004276, 0.059555, 0.015516, 0.966453, 16.718725, 1.391350, 36.994843, 0.017013, -0.059613, -0.055764

1495052623.867379, 0.023213, -0.019242, 0.002443, 0.059555, 0.015516, 0.966453, 18.334347, 1.510501, 40.601002, 0.017298, -0.059905, -0.055706

1495052623.880840, 0.019242, -0.014050, 0.003665, 0.044666, 0.000000, 0.966453, 19.626844, 1.667047, 43.532578, 0.017208, -0.059810, -0.056434

1495052623.894271, 0.015882, -0.015272, -0.000000, 0.029778, 0.015516, 0.966453, 20.660843, 1.792283, 45.877838, 0.017394, -0.059431, -0.056405

1495052623.907889, 0.023213, -0.010385, 0.003665, 0.029778, 0.015516, 0.966453, 21.488041, 1.831247, 47.754047, 0.017673, -0.058998, -0.056293

1495052623.921163, 0.019853, -0.013439, 0.003665, 0.044666, 0.015516, 0.950865, 22.149799, 1.862419, 49.255013, 0.017901, -0.058932, -0.056189

1495052623.934494, 0.021075, -0.011912, 0.002443, 0.029778, 0.015516, 0.966453, 22.679207, 1.887356, 50.455788, 0.018137, -0.058525, -0.056055

1495052623.948113, 0.017715, -0.012828, 0.003360, 0.029778, 0.015516, 0.966453, 23.143806, 1.948122, 51.416405, 0.018328, -0.058143, -0.055933

1495052623.961452, 0.017715, -0.012217, 0.003971, 0.044666, 0.031033, 0.966453, 23.515486, 1.996735, 52.184898, 0.018827, -0.058059, -0.055071

1495052623.974716, 0.018937, -0.014050, 0.004276, 0.044666, 0.031033, 0.966453, 23.771755, 2.035626, 52.799694, 0.019331, -0.058000, -0.054238

1495052623.987979, 0.017410, -0.012217, 0.005498, 0.029778, 0.000000, 0.966453, 23.976772, 2.066738, 53.291531, 0.019177, -0.057609, -0.054926

1495052624.001255, 0.018326, -0.015882, 0.000611, 0.059555, 0.031033, 0.982041, 24.140785, 2.091628, 53.685001, 0.019664, -0.057870, -0.054202

1495052624.014521, 0.020769, -0.015577, 0.003971, 0.059555, 0.031033, 0.982041, 24.292532, 2.070723, 54.046425, 0.020171, -0.058122, -0.053416

1495052624.027999, 0.025351, -0.017104, 0.003360, 0.059555, 0.031033, 0.966453, 24.413929, 2.053999, 54.335564, 0.020743, -0.058413, -0.052601

1495052624.041274, 0.019548, -0.015272, 0.003665, 0.089333, 0.015516, 0.935277, 24.490511, 2.040621, 54.543552, 0.020910, -0.059348, -0.052689

1495052624.054634, 0.019853, -0.012828, 0.004887, 0.089333, 0.015516, 0.935277, 24.551777, 2.029917, 54.709942, 0.021078, -0.060234, -0.052742

1495052624.068438, 0.016799, -0.012828, 0.004887, 0.029778, 0.031033, 0.966453, 24.600788, 2.021355, 54.843056, 0.021510, -0.059816, -0.051854

