Using settings file RTIMULib_peter.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1497889710.660520, 0.024740, -0.019242, 0.003360, 0.304000, 0.976000, -0.304000, -9.603499, 48.649076, -0.434181, 1.872747, -0.289055, 2.582936

1497889710.674063, 0.027794, -0.020464, 0.004887, 0.304000, 0.960000, -0.288000, -9.603500, 48.649075, -0.434181, 1.872991, -0.289147, 2.583065

1497889710.687427, 0.026878, -0.016493, 0.003665, 0.304000, 0.960000, -0.288000, -9.620076, 48.646825, -0.297994, 1.873195, -0.289237, 2.583171

1497889710.700754, 0.029016, -0.018326, 0.001833, 0.288000, 0.976000, -0.272000, -9.628008, 48.645613, -0.232599, 1.873027, -0.288952, 2.583571

1497889710.714097, 0.033598, -0.017715, 0.003054, 0.288000, 0.944000, -0.272000, -9.512193, 48.668260, -0.258675, 1.873100, -0.288851, 2.583785

1497889710.727466, 0.028100, -0.018631, 0.002749, 0.288000, 0.944000, -0.272000, -9.438117, 48.682588, -0.275347, 1.873104, -0.288743, 2.583964

1497889710.740835, 0.023824, -0.018937, 0.004276, 0.272000, 0.960000, -0.304000, -9.387730, 48.692264, -0.286683, 1.873590, -0.288226, 2.582894

1497889710.754184, 0.016188, -0.016799, 0.004581, 0.272000, 0.960000, -0.304000, -9.376681, 48.694173, -0.321898, 1.873956, -0.287731, 2.581891

1497889710.767542, 0.029016, -0.016799, 0.002138, 0.320000, 0.960000, -0.288000, -9.368540, 48.695562, -0.347831, 1.874173, -0.288121, 2.582188

1497889710.781005, 0.027489, -0.017715, 0.005192, 0.288000, 0.976000, -0.288000, -9.442997, 48.681674, -0.269544, 1.874278, -0.287871, 2.582032

1497889710.794421, 0.022602, -0.018937, 0.004581, 0.288000, 0.976000, -0.288000, -9.499136, 48.671042, -0.210485, 1.874320, -0.287614, 2.581849

1497889710.807855, 0.024740, -0.016493, -0.000611, 0.288000, 0.960000, -0.288000, -9.542021, 48.662827, -0.165351, 1.874464, -0.287385, 2.581634

1497889710.821220, 0.019548, -0.013439, 0.001833, 0.320000, 0.960000, -0.288000, -9.501539, 48.670789, -0.152840, 1.874534, -0.287791, 2.581906

1497889710.834576, 0.025045, -0.017715, 0.000611, 0.320000, 0.960000, -0.288000, -9.470126, 48.676940, -0.143133, 1.874688, -0.288157, 2.582103

1497889710.847940, 0.024129, -0.020159, 0.003665, 0.304000, 0.960000, -0.288000, -9.455492, 48.679370, -0.246664, 1.874835, -0.288252, 2.582082

1497889710.861290, 0.027184, -0.017104, 0.003054, 0.304000, 0.960000, -0.288000, -9.443869, 48.681142, -0.328681, 1.875008, -0.288349, 2.582154

1497889710.874639, 0.025962, -0.018937, 0.000305, 0.320000, 0.960000, -0.336000, -9.434624, 48.682451, -0.393785, 1.876058, -0.288621, 2.581047

1497889710.888001, 0.026267, -0.015882, 0.004276, 0.304000, 0.976000, -0.304000, -9.473490, 48.675187, -0.356941, 1.876400, -0.288620, 2.580759

1497889710.901350, 0.024435, -0.018326, 0.001527, 0.304000, 0.976000, -0.304000, -9.504234, 48.669399, -0.327789, 1.876717, -0.288576, 2.580450

1497889710.914697, 0.025656, -0.018326, -0.000305, 0.304000, 0.944000, -0.288000, -9.528609, 48.664783, -0.304671, 1.876925, -0.288706, 2.580492

1497889710.928113, 0.025656, -0.021075, 0.001222, 0.320000, 0.976000, -0.272000, -9.574411, 48.655779, -0.306817, 1.876668, -0.289001, 2.581388

1497889710.941476, 0.026878, -0.018021, 0.003971, 0.320000, 0.976000, -0.272000, -9.610629, 48.648627, -0.308513, 1.876423, -0.289337, 2.582310

1497889710.954830, 0.028405, -0.020159, 0.003971, 0.288000, 0.976000, -0.288000, -9.583427, 48.653519, -0.375903, 1.876498, -0.289038, 2.582256

1497889710.968187, 0.028711, -0.022602, -0.000000, 0.288000, 0.976000, -0.288000, -9.561569, 48.657371, -0.430016, 1.876580, -0.288687, 2.582214

1497889710.981553, 0.029322, -0.018631, 0.000305, 0.304000, 0.976000, -0.320000, -9.544021, 48.660413, -0.473435, 1.877255, -0.288601, 2.581501

1497889710.994910, 0.017715, -0.018021, 0.001833, 0.288000, 0.976000, -0.304000, -9.549006, 48.660093, -0.400095, 1.877467, -0.288272, 2.580995

1497889711.008265, 0.022297, -0.013439, 0.002749, 0.288000, 0.976000, -0.304000, -9.552972, 48.659761, -0.341526, 1.877719, -0.287979, 2.580519

1497889711.021614, 0.024740, -0.018937, -0.000611, 0.288000, 0.976000, -0.304000, -9.549537, 48.660616, -0.314649, 1.878014, -0.287629, 2.579975

1497889711.034966, 0.032987, -0.017715, 0.002443, 0.304000, 0.960000, -0.288000, -9.546813, 48.661284, -0.293352, 1.878201, -0.287729, 2.580100

1497889711.048328, 0.023213, -0.018326, 0.002138, 0.304000, 0.960000, -0.288000, -9.544650, 48.661807, -0.276444, 1.878258, -0.287821, 2.580204

1497889711.061679, 0.024129, -0.019853, -0.000916, 0.272000, 0.992000, -0.272000, -9.516392, 48.667289, -0.285547, 1.877838, -0.287155, 2.580478

1497889711.075030, 0.025656, -0.021991, 0.002138, 0.272000, 0.992000, -0.272000, -9.493681, 48.671681, -0.292862, 1.877458, -0.286532, 2.580702

1497889711.088388, 0.019853, -0.014050, -0.001222, 0.288000, 0.960000, -0.256000, -9.504589, 48.669640, -0.277768, 1.876844, -0.286398, 2.581660

1497889711.101759, 0.030543, -0.016188, 0.003360, 0.304000, 0.976000, -0.304000, -9.513357, 48.667995, -0.265635, 1.877226, -0.286429, 2.581316

1497889711.115126, 0.029627, -0.019548, 0.003665, 0.304000, 0.976000, -0.304000, -9.520397, 48.666671, -0.255891, 1.877601, -0.286449, 2.580931

1497889711.128481, 0.025045, -0.022602, -0.000305, 0.272000, 0.976000, -0.288000, -9.560058, 48.659299, -0.161769, 1.877614, -0.285849, 2.580480

1497889711.141835, 0.020769, -0.019548, -0.001527, 0.304000, 0.992000, -0.288000, -9.591581, 48.653287, -0.086889, 1.877471, -0.285765, 2.580619

1497889711.155219, 0.027794, -0.018631, -0.001222, 0.304000, 0.992000, -0.288000, -9.565004, 48.658277, -0.176137, 1.877420, -0.285690, 2.580813

1497889711.168584, 0.027184, -0.017104, 0.003665, 0.288000, 0.976000, -0.288000, -9.543697, 48.662150, -0.247610, 1.877448, -0.285472, 2.580727

1497889711.181940, 0.031460, -0.017410, 0.003665, 0.288000, 0.976000, -0.288000, -9.526621, 48.665171, -0.304834, 1.877533, -0.285257, 2.580669

1497889711.195299, 0.015577, -0.018937, 0.001527, 0.320000, 0.992000, -0.320000, -9.515724, 48.666983, -0.352159, 1.877913, -0.285454, 2.580210

1497889711.208667, 0.011912, -0.018326, 0.003054, 0.272000, 0.960000, -0.272000, -9.506928, 48.668411, -0.390334, 1.877513, -0.285040, 2.580398

1497889711.222023, 0.028711, -0.017715, -0.000000, 0.272000, 0.960000, -0.272000, -9.563873, 48.657365, -0.376009, 1.877335, -0.284598, 2.580616

