Using settings file RTIMULib_peter.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1497933739.108364, 0.011606, -0.077580, 0.010385, 0.096000, -0.032000, 0.960000, -13.424013, -27.568521, 38.973334, -0.033321, -0.099614, 2.154019

1497933739.121952, 0.561080, -0.207694, 0.043677, 0.096000, -0.032000, 0.960000, -0.963593, -14.670755, 47.360202, -0.025912, -0.102348, 2.151256

1497933739.135312, 1.024116, -0.423024, 0.109039, 0.080000, -0.032000, 0.992000, 3.286482, -9.782566, 48.504110, -0.012648, -0.107334, 2.142746

1497933739.148663, 1.035722, -0.428217, 0.108734, 0.080000, -0.032000, 0.992000, 5.317696, -7.319296, 48.757546, 0.000643, -0.112161, 2.128081

1497933739.162011, 1.036638, -0.427606, 0.109650, 0.112000, -0.032000, 0.960000, 6.460519, -5.907848, 48.810934, 0.013416, -0.117506, 2.114889

1497933739.175357, 1.036638, -0.430355, 0.110567, 0.096000, 0.000000, 0.976000, 7.164440, -5.127285, 48.800922, 0.026829, -0.122553, 2.096718

1497933739.188685, 1.037249, -0.429438, 0.110567, 0.096000, 0.000000, 0.976000, 7.607695, -4.602661, 48.786133, 0.040076, -0.127349, 2.076514

1497933739.202025, 1.014647, -0.506102, 0.111788, 0.080000, -0.016000, 0.976000, 7.918083, -4.233734, 48.770152, 0.052969, -0.132344, 2.050507

1497933739.215361, 0.938900, -0.445626, 0.106901, 0.080000, -0.032000, 0.992000, 8.127430, -3.945656, 48.759870, 0.064644, -0.135958, 2.020806

1497933739.228686, 0.765720, -0.384234, 0.094684, 0.080000, -0.032000, 0.992000, 8.282788, -3.731366, 48.750596, 0.073941, -0.138546, 1.990440

1497933739.242019, 0.298408, -0.137445, 0.038790, 0.080000, -0.016000, 0.976000, 8.400050, -3.569336, 48.742664, 0.077118, -0.138117, 1.962195

1497933739.255348, 0.018326, -0.010385, 0.004276, 0.080000, -0.016000, 0.976000, 8.462810, -3.420444, 48.742483, 0.076588, -0.136005, 1.933574

1497933739.268670, 0.025045, -0.016799, 0.004887, 0.096000, -0.032000, 0.944000, 8.511205, -3.305462, 48.741990, 0.075616, -0.134040, 1.903652

1497933739.282005, 0.018021, -0.017715, 0.003665, 0.128000, -0.032000, 0.960000, 8.593310, -3.192775, 48.735095, 0.073966, -0.132911, 1.878558

1497933739.295335, 0.021075, -0.011301, 0.004276, 0.128000, -0.032000, 0.960000, 8.657496, -3.104600, 48.729431, 0.072376, -0.131720, 1.853140

1497933739.308663, 0.019853, -0.013744, 0.004276, 0.096000, -0.032000, 0.976000, 8.707914, -3.035286, 48.724814, 0.071412, -0.129806, 1.823144

1497933739.321995, 0.021075, -0.011301, 0.003360, 0.080000, 0.000000, 0.976000, 8.751775, -2.996654, 48.719347, 0.071035, -0.128236, 1.797934

1497933739.335318, 0.016799, -0.015577, 0.003665, 0.080000, 0.000000, 0.976000, 8.786336, -2.966202, 48.714990, 0.070577, -0.126763, 1.773075

1497933739.348643, 0.016188, -0.014050, 0.002443, 0.080000, -0.016000, 0.976000, 8.817829, -2.972896, 48.708891, 0.069902, -0.125031, 1.746081

1497933739.361981, 0.018326, -0.015272, 0.000611, 0.080000, -0.016000, 0.976000, 8.842917, -2.978227, 48.704017, 0.069226, -0.123368, 1.719586

1497933739.375310, 0.019853, -0.013744, 0.001527, 0.080000, -0.032000, 0.992000, 8.862921, -2.982478, 48.700120, 0.068408, -0.121400, 1.690747

1497933739.388630, 0.023213, -0.015577, 0.003054, 0.080000, -0.032000, 0.992000, 8.875053, -2.940742, 48.700449, 0.067599, -0.119517, 1.662338

1497933739.401960, 0.020159, -0.013439, 0.003971, 0.080000, -0.032000, 0.992000, 8.884726, -2.907447, 48.700684, 0.066717, -0.117667, 1.634380

1497933739.415282, 0.019853, -0.014050, 0.003360, 0.080000, -0.016000, 0.992000, 8.866770, -2.901493, 48.704312, 0.065968, -0.116201, 1.609817

1497933739.428600, 0.017715, -0.017410, 0.002443, 0.096000, -0.016000, 0.992000, 8.852442, -2.896743, 48.707201, 0.064947, -0.115162, 1.587098

1497933739.441930, 0.016799, -0.014050, 0.002749, 0.096000, -0.016000, 0.992000, 8.841003, -2.892950, 48.709504, 0.063909, -0.114127, 1.564851

1497933739.455255, 0.021991, -0.015272, 0.004581, 0.080000, -0.016000, 0.976000, 8.870273, -2.873504, 48.705333, 0.063130, -0.112838, 1.541651

1497933739.468575, 0.018631, -0.015272, 0.001833, 0.080000, -0.016000, 0.976000, 8.893733, -2.857914, 48.701972, 0.062298, -0.111591, 1.518792

1497933739.481935, 0.022907, -0.015272, 0.000916, 0.080000, -0.016000, 0.960000, 8.895562, -2.818170, 48.703954, 0.061495, -0.110408, 1.496290

