Using settings file RTIMULib_peter.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1495173736.499976, 0.018021, -0.012523, 0.002138, -0.000000, 0.064000, 0.976000, 8.214951, 2.726771, 48.828553, 0.065480, 0.000000, 0.057646

1495173736.513496, 0.021991, -0.013744, 0.000916, -0.000000, 0.064000, 0.976000, 8.214951, 2.726771, 48.828553, 0.065777, -0.000186, 0.057646

1495173736.526810, 0.015577, -0.014661, 0.001222, 0.016000, 0.064000, 0.992000, 8.239282, 2.571120, 48.832897, 0.065957, -0.000696, 0.058045

1495173736.540108, 0.017410, -0.016799, 0.001833, 0.016000, 0.064000, 0.992000, 8.251093, 2.495369, 48.834833, 0.066157, -0.001225, 0.058641

1495173736.553437, 0.019853, -0.016799, -0.000916, 0.032000, 0.048000, 0.976000, 8.341677, 2.588922, 48.814569, 0.066050, -0.002058, 0.056879

1495173736.566779, 0.022297, -0.011606, 0.003971, 0.016000, 0.064000, 0.992000, 8.399606, 2.648771, 48.801423, 0.066310, -0.002494, 0.057091

1495173736.580105, 0.025962, -0.016188, 0.006109, 0.016000, 0.064000, 0.992000, 8.439005, 2.689486, 48.792398, 0.066612, -0.002982, 0.057208

1495173736.593438, 0.018631, -0.019548, 0.001222, 0.016000, 0.064000, 0.992000, 8.395264, 2.606057, 48.804470, 0.066813, -0.003500, 0.057484

1495173736.606753, 0.021686, -0.019548, 0.003971, -0.000000, 0.048000, 0.976000, 8.363343, 2.545204, 48.813161, 0.066746, -0.003675, 0.056024

1495173736.620066, 0.016799, -0.013744, 0.001527, -0.000000, 0.048000, 0.976000, 8.315739, 2.498889, 48.823686, 0.066615, -0.003770, 0.054678

1495173736.633391, 0.016799, -0.014050, 0.005192, 0.016000, 0.048000, 0.992000, 8.279708, 2.463841, 48.831590, 0.066461, -0.004192, 0.053368

1495173736.646711, 0.019853, -0.013744, 0.003971, 0.016000, 0.048000, 0.992000, 8.252102, 2.436993, 48.837610, 0.066351, -0.004601, 0.052141

1495173736.660028, 0.020464, -0.014661, 0.003360, 0.016000, 0.048000, 0.992000, 8.294199, 2.456618, 48.829495, 0.066251, -0.005013, 0.050877

1495173736.673353, 0.023518, -0.015577, 0.003054, -0.000000, 0.064000, 0.992000, 8.327015, 2.471918, 48.823137, 0.066520, -0.005119, 0.051507

1495173736.686673, 0.021075, -0.017410, 0.003054, -0.000000, 0.064000, 0.992000, 8.327532, 2.444012, 48.824454, 0.066751, -0.005247, 0.052190

1495173736.699990, 0.017410, -0.016799, 0.002749, 0.016000, 0.064000, 0.992000, 8.327936, 2.422073, 48.825478, 0.066936, -0.005686, 0.053088

1495173736.713319, 0.014050, -0.012828, 0.000611, 0.016000, 0.064000, 0.960000, 8.328253, 2.404762, 48.826280, 0.067119, -0.006073, 0.054271

1495173736.726639, 0.020464, -0.013439, 0.000305, 0.016000, 0.064000, 0.960000, 8.320683, 2.394187, 48.828090, 0.067381, -0.006460, 0.055457

1495173736.739955, 0.015272, -0.012828, -0.000000, 0.016000, 0.064000, 1.008000, 8.314664, 2.385781, 48.829527, 0.067504, -0.006816, 0.056222

1495173736.753290, 0.017715, -0.015882, 0.001833, 0.016000, 0.064000, 1.008000, 8.345566, 2.434469, 48.821851, 0.067657, -0.007206, 0.056856

1495173736.766622, 0.019548, -0.014661, 0.002749, 0.016000, 0.064000, 0.992000, 8.370171, 2.473246, 48.815690, 0.067850, -0.007579, 0.057517

1495173736.779946, 0.016188, -0.016188, 0.002138, 0.016000, 0.064000, 0.992000, 8.389779, 2.504156, 48.810748, 0.067995, -0.007963, 0.058069

1495173736.793263, 0.015882, -0.017104, 0.001222, 0.016000, 0.064000, 0.992000, 8.387600, 2.510506, 48.810796, 0.068133, -0.008350, 0.058581

1495173736.806572, 0.019853, -0.014050, 0.005498, 0.016000, 0.032000, 1.008000, 8.385861, 2.515575, 48.810834, 0.067652, -0.008621, 0.054942

1495173736.819904, 0.017410, -0.013134, 0.001527, 0.048000, 0.032000, 0.992000, 8.417237, 2.481420, 48.807181, 0.067095, -0.009514, 0.050863

1495173736.833240, 0.021075, -0.016799, 0.001527, 0.048000, 0.032000, 0.992000, 8.442276, 2.454155, 48.804235, 0.066602, -0.010441, 0.046963

1495173736.846566, 0.024740, -0.014355, 0.005498, 0.016000, 0.064000, 0.992000, 8.462268, 2.432381, 48.801863, 0.066884, -0.010747, 0.047940

1495173736.859884, 0.025045, -0.013439, 0.005192, 0.016000, 0.064000, 0.992000, 8.470249, 2.473325, 48.798420, 0.067163, -0.011035, 0.048785

1495173736.873257, 0.021991, -0.018326, 0.006720, 0.016000, 0.048000, 0.976000, 8.476637, 2.506114, 48.795638, 0.067087, -0.011376, 0.047604

1495173736.886580, 0.018021, -0.016799, 0.003360, 0.016000, 0.048000, 0.976000, 8.481749, 2.532367, 48.793394, 0.066960, -0.011686, 0.046335

1495173736.899897, 0.020464, -0.013439, -0.000000, 0.016000, 0.048000, 0.976000, 8.483171, 2.460236, 48.796837, 0.066868, -0.011945, 0.045239

1495173736.913267, 0.019853, -0.015882, 0.004276, 0.016000, 0.048000, 0.992000, 8.484296, 2.402529, 48.799517, 0.066756, -0.012230, 0.044268

1495173736.926600, 0.018326, -0.015272, 0.004276, 0.016000, 0.112000, 1.008000, 8.488927, 2.389155, 48.799368, 0.067876, -0.012363, 0.050872

1495173736.939927, 0.024129, -0.013439, 0.002138, 0.016000, 0.064000, 1.008000, 8.492619, 2.378489, 48.799247, 0.068103, -0.012612, 0.051727

