Using settings file RTIMULib_peter.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1497961188.355149, 0.019548, -0.014966, 0.000611, 0.064000, -0.160000, 0.960000, 0.455024, -7.656748, 48.993014, -0.165149, -0.065665, -2.964227

1497961188.368754, 0.022297, -0.016188, 0.002749, 0.064000, -0.128000, 0.960000, 0.402724, -7.630897, 48.997505, -0.164220, -0.066049, -2.974956

1497961188.382375, 0.019242, -0.012217, 0.005803, 0.064000, -0.128000, 0.960000, 0.385653, -7.622457, 48.998956, -0.163349, -0.066357, -2.985348

1497961188.396030, 0.020464, -0.012828, 0.005498, 0.064000, -0.144000, 0.944000, 0.378082, -7.664318, 48.992485, -0.162844, -0.066551, -2.989654

1497961188.409531, 0.015272, -0.015882, 0.000916, 0.064000, -0.144000, 0.944000, 0.373676, -7.688678, 48.988701, -0.162417, -0.066789, -2.994094

1497961188.423211, 0.017715, -0.013134, 0.001833, 0.032000, -0.128000, 0.976000, 0.370851, -7.704292, 48.986270, -0.161267, -0.066616, -3.012956

1497961188.436905, 0.020159, -0.009468, 0.002749, 0.064000, -0.144000, 0.944000, 0.485563, -7.704052, 48.985305, -0.160804, -0.066761, -3.017086

1497961188.450540, 0.020464, -0.010996, 0.003665, 0.064000, -0.144000, 0.944000, 0.567197, -7.703857, 48.984458, -0.160347, -0.066920, -3.021166

1497961188.464366, 0.017104, -0.015882, 0.002138, 0.064000, -0.144000, 0.960000, 0.584486, -7.703782, 48.984267, -0.159888, -0.067134, -3.026126

1497961188.477923, 0.022297, -0.018326, -0.000000, 0.080000, -0.160000, 0.960000, 0.597404, -7.703724, 48.984120, -0.159698, -0.067673, -3.025793

1497961188.491556, 0.022602, -0.017715, 0.000305, 0.080000, -0.160000, 0.960000, 0.607206, -7.703680, 48.984006, -0.159506, -0.068193, -3.025456

1497961188.505280, 0.028405, -0.017104, 0.001222, 0.064000, -0.128000, 0.944000, 0.554915, -7.696990, 48.985678, -0.158635, -0.068510, -3.034944

1497961188.518872, 0.023213, -0.014966, 0.002443, 0.064000, -0.160000, 0.976000, 0.514480, -7.691810, 48.986933, -0.158408, -0.068625, -3.034539

1497961188.532545, 0.022907, -0.017410, -0.001222, 0.064000, -0.160000, 0.976000, 0.540466, -7.684395, 48.987817, -0.158185, -0.068778, -3.034105

1497961188.546056, 0.018021, -0.018631, 0.001222, 0.080000, -0.160000, 0.944000, 0.560803, -7.678589, 48.988499, -0.158135, -0.069317, -3.032786

1497961188.559754, 0.019548, -0.017715, 0.002749, 0.080000, -0.128000, 0.976000, 0.576792, -7.674025, 48.989029, -0.157384, -0.069900, -3.041791

1497961188.573505, 0.016799, -0.014966, 0.000916, 0.080000, -0.128000, 0.976000, 0.608188, -7.670387, 48.989219, -0.156678, -0.070435, -3.050687

1497961188.587005, 0.019548, -0.014661, 0.000916, 0.064000, -0.160000, 0.960000, 0.633030, -7.667507, 48.989355, -0.156596, -0.070537, -3.048762

1497961188.600739, 0.018326, -0.013744, 0.002443, 0.064000, -0.160000, 0.960000, 0.559678, -7.647214, 48.993419, -0.156529, -0.070625, -3.046807

1497961188.614420, 0.018021, -0.016799, 0.000916, 0.048000, -0.160000, 0.976000, 0.501394, -7.631077, 48.996567, -0.156435, -0.070410, -3.044550

1497961188.628011, 0.020159, -0.015272, 0.001833, 0.064000, -0.144000, 0.960000, 0.455020, -7.618230, 48.999018, -0.156011, -0.070530, -3.048321

1497961188.641750, 0.017410, -0.011606, 0.003360, 0.064000, -0.144000, 0.960000, 0.436310, -7.658974, 48.992836, -0.155629, -0.070597, -3.052279

1497961188.655280, 0.019853, -0.014355, 0.004276, 0.064000, -0.144000, 0.976000, 0.421409, -7.691417, 48.987884, -0.155175, -0.070683, -3.057241

1497961188.669048, 0.022297, -0.017104, 0.002749, 0.048000, -0.160000, 0.960000, 0.483830, -7.672674, 48.990246, -0.155113, -0.070494, -3.053992

1497961188.682813, 0.021380, -0.014661, 0.000916, 0.048000, -0.160000, 0.960000, 0.533746, -7.657676, 48.992075, -0.155063, -0.070281, -3.050566

1497961188.696382, 0.018326, -0.013134, 0.002138, 0.064000, -0.144000, 0.976000, 0.573666, -7.645675, 48.993498, -0.154639, -0.070360, -3.055437

1497961188.710137, 0.019548, -0.013744, -0.000916, 0.064000, -0.160000, 0.944000, 0.512704, -7.716691, 48.983039, -0.154646, -0.070488, -3.053070

1497961188.723713, 0.021380, -0.016799, 0.001527, 0.064000, -0.160000, 0.944000, 0.464074, -7.773320, 48.974569, -0.154633, -0.070643, -3.051168

1497961188.737365, 0.017715, -0.015577, 0.002138, 0.080000, -0.160000, 0.960000, 0.462666, -7.738363, 48.980118, -0.154608, -0.071075, -3.050600

1497961188.751065, 0.019548, -0.007941, -0.000916, 0.080000, -0.160000, 0.960000, 0.461538, -7.710371, 48.984543, -0.154553, -0.071404, -3.049945

1497961188.764746, 0.022907, -0.018326, 0.005498, 0.080000, -0.144000, 0.960000, 0.478750, -7.738634, 48.979921, -0.154162, -0.071862, -3.053811

1497961188.778447, 0.018326, -0.015272, 0.004887, 0.080000, -0.128000, 0.960000, 0.492512, -7.761230, 48.976209, -0.153539, -0.072349, -3.062017

1497961188.792184, 0.014966, -0.015272, 0.003054, 0.080000, -0.128000, 0.960000, 0.503517, -7.779298, 48.973230, -0.152969, -0.072829, -3.070194

1497961188.805771, 0.018937, -0.012828, 0.003360, 0.080000, -0.144000, 0.976000, 0.493831, -7.736823, 48.980057, -0.152609, -0.073165, -3.074402

1497961188.819494, 0.019853, -0.011606, 0.000916, 0.064000, -0.160000, 0.944000, 0.486087, -7.702860, 48.985487, -0.152659, -0.073210, -3.071577

1497961188.833103, 0.021991, -0.014966, 0.002749, 0.064000, -0.160000, 0.944000, 0.497846, -7.669416, 48.990616, -0.152685, -0.073295, -3.068531

1497961188.846698, 0.018937, -0.012523, 0.003054, 0.064000, -0.160000, 0.960000, 0.507236, -7.642708, 48.994693, -0.152695, -0.073316, -3.066212

1497961188.860384, 0.014661, -0.014661, 0.002749, 0.064000, -0.160000, 0.976000, 0.514736, -7.621373, 48.997939, -0.152705, -0.073338, -3.064657

1497961188.873942, 0.019548, -0.016799, 0.002138, 0.064000, -0.160000, 0.976000, 0.502747, -7.664224, 48.991379, -0.152651, -0.073385, -3.063465

1497961188.887669, 0.021991, -0.011301, 0.005498, 0.064000, -0.144000, 0.944000, 0.493153, -7.698508, 48.986101, -0.152326, -0.073397, -3.066511

1497961188.901175, 0.020769, -0.013439, 0.002749, 0.064000, -0.144000, 0.944000, 0.522572, -7.714274, 48.983315, -0.152027, -0.073439, -3.069660

1497961188.914812, 0.022297, -0.017104, 0.002138, 0.064000, -0.176000, 0.976000, 0.546147, -7.726906, 48.981067, -0.152286, -0.073565, -3.063232

1497961188.928541, 0.025656, -0.016493, 0.003971, 0.064000, -0.144000, 0.960000, 0.565031, -7.737024, 48.979255, -0.151862, -0.073629, -3.067555

1497961188.942054, 0.025045, -0.018021, 0.003360, 0.064000, -0.144000, 0.960000, 0.542943, -7.756787, 48.976379, -0.151459, -0.073709, -3.071918

1497961188.955707, 0.025962, -0.014661, 0.003971, 0.064000, -0.144000, 0.944000, 0.525285, -7.772584, 48.974067, -0.151104, -0.073759, -3.075361

1497961188.969379, 0.013439, -0.013744, 0.002443, 0.064000, -0.144000, 0.992000, 0.548107, -7.770418, 48.974161, -0.150760, -0.073758, -3.081537

1497961188.982972, 0.021075, -0.015577, 0.005192, 0.064000, -0.144000, 0.992000, 0.566371, -7.768684, 48.974228, -0.150324, -0.073773, -3.087571

1497961188.996747, 0.020464, -0.014355, 0.003971, 0.048000, -0.160000, 0.960000, 0.580987, -7.767296, 48.974277, -0.150387, -0.073490, -3.084438

1497961189.010295, 0.020769, -0.011606, 0.000305, 0.064000, -0.144000, 0.944000, 0.537732, -7.823210, 48.965871, -0.150121, -0.073509, -3.088058

1497961189.023967, 0.018326, -0.013439, 0.000916, 0.064000, -0.144000, 0.944000, 0.503106, -7.867958, 48.959069, -0.149891, -0.073551, -3.091880

1497961189.037644, 0.021075, -0.015272, 0.006109, 0.080000, -0.160000, 0.960000, 0.492644, -7.830801, 48.965132, -0.149918, -0.073917, -3.090946

1497961189.051245, 0.016188, -0.015577, 0.002749, 0.080000, -0.160000, 0.960000, 0.484305, -7.801182, 48.969943, -0.150008, -0.074286, -3.089913

1497961189.064961, 0.015272, -0.016188, 0.002749, 0.064000, -0.160000, 0.928000, 0.477653, -7.777554, 48.973766, -0.150233, -0.074402, -3.086401

1497961189.078459, 0.017715, -0.014661, 0.003054, 0.080000, -0.144000, 0.944000, 0.491856, -7.741873, 48.979279, -0.150038, -0.074770, -3.088898

1497961189.092154, 0.017104, -0.012523, 0.004276, 0.080000, -0.144000, 0.944000, 0.503249, -7.713246, 48.983679, -0.149851, -0.075101, -3.091178

1497961189.105965, 0.014966, -0.014661, 0.002749, 0.080000, -0.144000, 0.960000, 0.566919, -7.701830, 48.984780, -0.149644, -0.075435, -3.094109

1497961189.119493, 0.016188, -0.015577, 0.003054, 0.064000, -0.160000, 0.960000, 0.617861, -7.692687, 48.985601, -0.149757, -0.075458, -3.091493

1497961189.133204, 0.019548, -0.014050, 0.003665, 0.064000, -0.160000, 0.960000, 0.658620, -7.685366, 48.986219, -0.149821, -0.075462, -3.088815

1497961189.146788, 0.018937, -0.014966, 0.001833, 0.080000, -0.160000, 0.944000, 0.599966, -7.739678, 48.978421, -0.149926, -0.075831, -3.086707

1497961189.160436, 0.021380, -0.014355, 0.004276, 0.064000, -0.160000, 0.944000, 0.552982, -7.783168, 48.972082, -0.150017, -0.075854, -3.084057

1497961189.174146, 0.019242, -0.014355, 0.003665, 0.064000, -0.160000, 0.944000, 0.496792, -7.814828, 48.967642, -0.150132, -0.075875, -3.081759

1497961189.187647, 0.022907, -0.015272, -0.000000, 0.048000, -0.144000, 0.992000, 0.451836, -7.840149, 48.964029, -0.149596, -0.075545, -3.090155

1497961189.201398, 0.021686, -0.017104, 0.001222, 0.064000, -0.144000, 0.944000, 0.415869, -7.860401, 48.961101, -0.149328, -0.075595, -3.093788

1497961189.215203, 0.022602, -0.016188, 0.003665, 0.064000, -0.144000, 0.944000, 0.497257, -7.858541, 48.960641, -0.149053, -0.075627, -3.097381

1497961189.228825, 0.021686, -0.011301, 0.001833, 0.064000, -0.144000, 0.960000, 0.562374, -7.857037, 48.960177, -0.148741, -0.075577, -3.101933

1497961189.242548, 0.021991, -0.009774, 0.004887, 0.064000, -0.144000, 0.960000, 0.577655, -7.909597, 48.951536, -0.148431, -0.075503, -3.106760

1497961189.256123, 0.023213, -0.012217, 0.002749, 0.064000, -0.144000, 0.912000, 0.589876, -7.951628, 48.944580, -0.148283, -0.075523, -3.108948

1497961189.269823, 0.021991, -0.013439, 0.003665, 0.064000, -0.160000, 0.960000, 0.599651, -7.985242, 48.938989, -0.148334, -0.075502, -3.108253

1497961189.283570, 0.018021, -0.012828, 0.001222, 0.064000, -0.160000, 0.960000, 0.607469, -8.012125, 48.934498, -0.148432, -0.075477, -3.107806

1497961189.297121, 0.019853, -0.014966, 0.000611, 0.064000, -0.128000, 0.944000, 0.613723, -8.033628, 48.930895, -0.147861, -0.075575, -3.117905

1497961189.310725, 0.022602, -0.015577, 0.005192, 0.064000, -0.144000, 0.944000, 0.619015, -8.036226, 48.930401, -0.147617, -0.075589, -3.122414

1497961189.324405, 0.019548, -0.012828, 0.006414, 0.064000, -0.144000, 0.944000, 0.623251, -8.038305, 48.930006, -0.147418, -0.075565, -3.126843

1497961189.338210, 0.017104, -0.012828, 0.004887, 0.064000, -0.128000, 0.976000, 0.644599, -7.979728, 48.939316, -0.146803, -0.075611, -3.137888

1497961189.351814, 0.022602, -0.013744, 0.001833, 0.064000, -0.128000, 0.944000, 0.661665, -7.932889, 48.946703, -0.146229, -0.075673, 3.136282

1497961189.365768, 0.018326, -0.012523, 0.004581, 0.064000, -0.128000, 0.944000, 0.675311, -7.895431, 48.952573, -0.145722, -0.075711, 3.127676

1497961189.379873, 0.022907, -0.014661, 0.002443, 0.080000, -0.144000, 0.976000, 0.704317, -7.844346, 48.960376, -0.145434, -0.076009, 3.124344

1497961189.393595, 0.021075, -0.014050, 0.006109, 0.080000, -0.144000, 0.976000, 0.727499, -7.803509, 48.966563, -0.145187, -0.076280, 3.121344

1497961189.407533, 0.017104, -0.014966, 0.003054, 0.048000, -0.128000, 0.992000, 0.709926, -7.795170, 48.968149, -0.144437, -0.076046, 3.107383

1497961189.421284, 0.013134, -0.018937, 0.000916, 0.048000, -0.144000, 0.960000, 0.695857, -7.788493, 48.969413, -0.144297, -0.075756, 3.103217

1497961189.435023, 0.015577, -0.011912, -0.001833, 0.048000, -0.144000, 0.960000, 0.684596, -7.783147, 48.970422, -0.144126, -0.075384, 3.099172

1497961189.448891, 0.016188, -0.012523, 0.002138, 0.064000, -0.144000, 0.976000, 0.675779, -7.817864, 48.965014, -0.143938, -0.075332, 3.095521

1497961189.462546, 0.020769, -0.015882, 0.002443, 0.080000, -0.144000, 0.944000, 0.668718, -7.845659, 48.960665, -0.143818, -0.075698, 3.094367

