Using settings file RTIMULib_peter.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 10mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

1497926230.900170, 0.028711, -0.022907, 0.001833, 0.032000, 0.016000, 0.976000, 2.775338, 3.244274, 49.405672, 0.016392, -0.032771, -1.128222

1497926230.913896, 0.021075, -0.015882, 0.003054, 0.032000, 0.000000, 0.976000, 2.720639, 3.094884, 49.418297, 0.016347, -0.032969, -1.130207

1497926230.927691, 0.023518, -0.014661, 0.002138, 0.032000, 0.000000, 0.976000, 2.702768, 3.046086, 49.422309, 0.016338, -0.033147, -1.132168

1497926230.941128, 0.027794, -0.019242, 0.003971, 0.032000, 0.000000, 0.976000, 2.694061, 3.022314, 49.424244, 0.016376, -0.033378, -1.134069

1497926230.954787, 0.032681, -0.019242, 0.003971, -0.000000, 0.016000, 0.976000, 2.690431, 3.035064, 49.423661, 0.016666, -0.032981, -1.125153

1497926230.968231, 0.029016, -0.019548, 0.002138, -0.000000, 0.016000, 0.976000, 2.688106, 3.043229, 49.423285, 0.016902, -0.032592, -1.116484

1497926230.981965, 0.029322, -0.018021, 0.001833, 0.016000, 0.000000, 0.976000, 2.728705, 3.090949, 49.418099, 0.016941, -0.032528, -1.114438

1497926230.995704, 0.026267, -0.021380, 0.007330, -0.000000, 0.000000, 0.992000, 2.757499, 3.124793, 49.414372, 0.016869, -0.032216, -1.109003

1497926231.009179, 0.027794, -0.017104, 0.003054, -0.000000, 0.000000, 0.992000, 2.778524, 3.149506, 49.411625, 0.016816, -0.031846, -1.103737

1497926231.022945, 0.023824, -0.017715, 0.001833, -0.000000, 0.000000, 0.992000, 2.794206, 3.167938, 49.409562, 0.016722, -0.031495, -1.098594

1497926231.036370, 0.029016, -0.017715, 0.002443, -0.000000, 0.000000, 0.992000, 2.806088, 3.181904, 49.407991, 0.016692, -0.031144, -1.093548

1497926231.049940, 0.030849, -0.019853, 0.004276, 0.048000, 0.000000, 0.976000, 2.763692, 3.159468, 49.411821, 0.016706, -0.031702, -1.100940

1497926231.063493, 0.028711, -0.019242, 0.003360, 0.016000, 0.000000, 1.008000, 2.730831, 3.142076, 49.414757, 0.016738, -0.031656, -1.099203

1497926231.077242, 0.027489, -0.021075, 0.006414, 0.016000, 0.000000, 1.008000, 2.705188, 3.128504, 49.417028, 0.016759, -0.031639, -1.097538

1497926231.091145, 0.026267, -0.018631, 0.001833, 0.016000, 0.000000, 1.040000, 2.701339, 3.133941, 49.416894, 0.016768, -0.031582, -1.095890

1497926231.104596, 0.024129, -0.016493, 0.002749, 0.016000, 0.016000, 0.976000, 2.698309, 3.138221, 49.416788, 0.017046, -0.031499, -1.091729

1497926231.118193, 0.024740, -0.016188, 0.004581, 0.016000, 0.016000, 0.976000, 2.696897, 3.159953, 49.415480, 0.017332, -0.031416, -1.087724

1497926231.131634, 0.023518, -0.020464, 0.001222, 0.016000, 0.016000, 0.976000, 2.695778, 3.177169, 49.414438, 0.017594, -0.031389, -1.083923

1497926231.145366, 0.020769, -0.017104, 0.001222, 0.032000, 0.016000, 0.976000, 2.694890, 3.190836, 49.413605, 0.017848, -0.031646, -1.085179

1497926231.159111, 0.021075, -0.020159, 0.000305, 0.032000, 0.016000, 0.976000, 2.639167, 3.213934, 49.415116, 0.018102, -0.031938, -1.086885

1497926231.172745, 0.025656, -0.021380, 0.002138, 0.016000, 0.016000, 0.976000, 2.594923, 3.232269, 49.416263, 0.018387, -0.031917, -1.083842

1497926231.186590, 0.023518, -0.020159, -0.001222, 0.016000, 0.016000, 0.976000, 2.647941, 3.268335, 49.411078, 0.018643, -0.031884, -1.080765

1497926231.200042, 0.027794, -0.021991, 0.001527, 0.032000, 0.016000, 0.960000, 2.690253, 3.297117, 49.406880, 0.018968, -0.032201, -1.082581

1497926231.213555, 0.025351, -0.019242, 0.003971, 0.016000, 0.000000, 0.976000, 2.724039, 3.320098, 49.403490, 0.018918, -0.032147, -1.081836

1497926231.226981, 0.025962, -0.019853, 0.003971, 0.016000, 0.000000, 0.976000, 2.698685, 3.285723, 49.407180, 0.018874, -0.032100, -1.081132

1497926231.240731, 0.026573, -0.018326, 0.000916, -0.000000, 0.016000, 0.960000, 2.678448, 3.258286, 49.410098, 0.019079, -0.031720, -1.074252

1497926231.254555, 0.027489, -0.020464, 0.004581, 0.032000, 0.016000, 0.960000, 2.662228, 3.253145, 49.411313, 0.019400, -0.032028, -1.076223

